ProductId,week,month,on_sale,units_sold,source
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,1,1,0,7,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,2,1,0,5,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,3,1,0,6,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,4,1,0,5,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,5,2,0,6,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,6,2,0,7,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,7,2,1,11,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,8,2,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,9,3,0,5,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,10,3,0,10,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,11,3,1,12,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,12,3,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,13,4,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,14,4,1,13,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,15,4,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,16,4,1,13,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,17,5,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,18,5,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,19,5,0,10,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,20,5,0,11,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,21,6,0,7,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,22,6,0,8,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,23,6,0,9,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,24,6,0,7,synthetic
1ec8d967-1b45-4ccf-82cc-fabb83828ea8,25,7,0,6,synthetic
